open,close,high,low,value,volume,begin,end
105.75,108.24,109.29,104.05,208030368.46,1929430.0,2023-01-03,2023-01-03 23:59:59
108.51,109.18,109.28,106.2,157739808.52,1467101.0,2023-01-04,2023-01-04 23:59:59
109.48,108.28,111.0,107.6,164163056.92,1505690.0,2023-01-05,2023-01-05 23:59:59
108.55,105.99,110.5,105.99,355871679.28,3285837.0,2023-01-06,2023-01-06 23:59:59
106.4,105.95,107.49,105.2,155926855.45,1468314.0,2023-01-09,2023-01-09 23:59:59
105.93,105.05,105.94,104.22,105064972.3,1001374.0,2023-01-10,2023-01-10 23:59:59
105.08,106.18,107.0,105.05,110600211.2,1040995.0,2023-01-11,2023-01-11 23:59:59
106.55,106.73,107.75,106.1,130791618.63,1221463.0,2023-01-12,2023-01-12 23:59:59
106.74,107.09,108.3,106.54,101322640.53,943363.0,2023-01-13,2023-01-13 23:59:59
107.15,107.64,108.2,106.7,133145212.56,1237239.0,2023-01-16,2023-01-16 23:59:59
107.85,107.0,108.64,106.2,190301306.04,1770720.0,2023-01-17,2023-01-17 23:59:59
107.45,106.5,107.46,106.1,101178610.22,948732.0,2023-01-18,2023-01-18 23:59:59
106.5,104.24,106.5,102.34,234928250.86,2252553.0,2023-01-19,2023-01-19 23:59:59
104.07,104.65,104.75,102.74,109867426.33,1060394.0,2023-01-20,2023-01-20 23:59:59
104.99,103.96,105.64,103.52,150299624.36,1438407.0,2023-01-23,2023-01-23 23:59:59
104.32,104.51,106.97,104.1,245701954.56,2322970.0,2023-01-24,2023-01-24 23:59:59
104.5,107.07,107.38,104.11,145947351.08,1375770.0,2023-01-25,2023-01-25 23:59:59
107.39,110.01,110.01,107.04,342719353.88,3144172.0,2023-01-26,2023-01-26 23:59:59
110.6,114.48,115.77,110.6,682300119.91,5996546.0,2023-01-27,2023-01-27 23:59:59
115.0,113.77,118.87,112.55,436584112.78,3788077.0,2023-01-30,2023-01-30 23:59:59
113.51,113.95,115.14,112.5,250489296.86,2196134.0,2023-01-31,2023-01-31 23:59:59
113.89,117.4,117.9,113.55,400149497.48,3446928.0,2023-02-01,2023-02-01 23:59:59
117.2,122.87,122.95,117.19,714405607.19,5935888.0,2023-02-02,2023-02-02 23:59:59
122.59,122.2,122.82,120.35,517893731.14,4257022.0,2023-02-03,2023-02-03 23:59:59
122.1,125.13,125.9,122.01,548466784.91,4412926.0,2023-02-06,2023-02-06 23:59:59
125.99,126.9,128.47,124.05,781187151.26,6166740.0,2023-02-07,2023-02-07 23:59:59
127.42,124.77,128.69,124.11,565086531.79,4473079.0,2023-02-08,2023-02-08 23:59:59
125.0,124.53,125.48,122.5,330650736.74,2665315.0,2023-02-09,2023-02-09 23:59:59
