open,close,high,low,value,volume,begin,end
141.6,141.78,143.25,141.56,3000247965.4,21098550.0,2023-01-03,2023-01-03 23:59:59
141.85,141.43,142.28,140.75,2419428972.3,17112740.0,2023-01-04,2023-01-04 23:59:59
141.6,141.27,141.84,140.54,2435171391.9,17245300.0,2023-01-05,2023-01-05 23:59:59
141.39,141.4,141.62,140.9,1504730792.2,10657600.0,2023-01-06,2023-01-06 23:59:59
141.83,142.4,142.99,141.65,4480148303.4,31449160.0,2023-01-09,2023-01-09 23:59:59
142.1,142.81,142.85,141.31,3368938055.0,23718180.0,2023-01-10,2023-01-10 23:59:59
142.97,149.96,149.98,142.87,18097145617.6,123147040.0,2023-01-11,2023-01-11 23:59:59
150.02,149.3,150.79,148.39,6982668294.2,46789300.0,2023-01-12,2023-01-12 23:59:59
149.58,151.69,153.28,147.71,13374657598.8,88520210.0,2023-01-13,2023-01-13 23:59:59
152.89,153.71,154.0,151.88,7920014161.8,51753920.0,2023-01-16,2023-01-16 23:59:59
154.0,150.45,154.31,150.01,12790444010.5,84404770.0,2023-01-17,2023-01-17 23:59:59
150.4,151.47,153.0,149.41,10235015056.8,67511970.0,2023-01-18,2023-01-18 23:59:59
151.2,149.34,152.85,148.56,10027708961.8,66813960.0,2023-01-19,2023-01-19 23:59:59
149.7,151.38,151.4,148.64,6633881321.1,44254820.0,2023-01-20,2023-01-20 23:59:59
151.9,153.5,154.1,151.01,8453400896.7,55198870.0,2023-01-23,2023-01-23 23:59:59
153.95,152.66,155.58,152.28,12126204920.9,78734130.0,2023-01-24,2023-01-24 23:59:59
152.45,152.81,153.6,151.5,6613609683.1,43376700.0,2023-01-25,2023-01-25 23:59:59
153.32,152.4,154.3,151.73,6966980467.7,45513320.0,2023-01-26,2023-01-26 23:59:59
152.4,153.2,153.48,151.69,5213964676.6,34123690.0,2023-01-27,2023-01-27 23:59:59
153.5,153.38,153.88,152.21,4760702156.6,31105220.0,2023-01-30,2023-01-30 23:59:59
153.51,158.07,158.18,153.3,12127748512.5,77890320.0,2023-01-31,2023-01-31 23:59:59
158.2,158.29,159.6,156.5,10480709146.9,66332200.0,2023-02-01,2023-02-01 23:59:59
158.4,159.45,160.29,157.37,8572049477.0,53866380.0,2023-02-02,2023-02-02 23:59:59
159.1,161.26,162.32,157.88,10193999216.9,63735330.0,2023-02-03,2023-02-03 23:59:59
161.78,167.09,167.17,161.01,14666403495.3,89083530.0,2023-02-06,2023-02-06 23:59:59
167.3,165.39,168.7,163.4,15345906260.6,92661570.0,2023-02-07,2023-02-07 23:59:59
165.0,164.15,166.35,162.7,9652989000.6,58669030.0,2023-02-08,2023-02-08 23:59:59
164.33,165.31,167.47,161.27,17608882957.8,107139220.0,2023-02-09,2023-02-09 23:59:59
165.0,165.52,166.49,164.5,6774229866.8,40924680.0,2023-02-10,2023-02-10 23:59:59
165.2,164.32,166.88,164.17,5995183185.7,36212200.0,2023-02-13,2023-02-13 23:59:59
164.3,161.86,164.38,161.64,9574244266.6,58832960.0,2023-02-14,2023-02-14 23:59:59
160.94,156.25,161.12,153.83,17992861042.9,113804160.0,2023-02-15,2023-02-15 23:59:59
157.33,158.22,159.3,156.25,10824261902.6,68549280.0,2023-02-16,2023-02-16 23:59:59
158.0,159.73,160.38,156.91,8295150283.0,52179940.0,2023-02-17,2023-02-17 23:59:59
159.41,160.09,161.3,156.73,10151613700.1,63971610.0,2023-02-20,2023-02-20 23:59:59
160.66,164.15,165.65,159.26,20810057510.7,127422480.0,2023-02-21,2023-02-21 23:59:59
164.13,163.37,164.42,162.5,7150966488.1,43772430.0,2023-02-22,2023-02-22 23:59:59
163.33,164.3,165.5,163.1,6199625787.6,37727230.0,2023-02-24,2023-02-24 23:59:59
163.52,169.95,170.0,162.96,16780738615.2,100133280.0,2023-02-27,2023-02-27 23:59:59
170.5,169.82,171.92,168.37,13727277947.9,80748140.0,2023-02-28,2023-02-28 23:59:59
