open,close,high,low,value,volume,begin,end
4.582,4.655,4.672,4.575,61091526.0,13169200.0,2023-01-03,2023-01-03 23:59:59
4.67,4.67,4.734,4.612,68182108.5,14657000.0,2023-01-04,2023-01-04 23:59:59
4.672,4.644,4.695,4.63,46769172.3,10045500.0,2023-01-05,2023-01-05 23:59:59
4.649,4.634,4.649,4.602,29516987.5,6377900.0,2023-01-06,2023-01-06 23:59:59
4.639,4.781,4.842,4.635,252093298.8,52865400.0,2023-01-09,2023-01-09 23:59:59
4.8,4.77,4.806,4.691,107957163.0,22671000.0,2023-01-10,2023-01-10 23:59:59
4.787,4.813,4.84,4.762,123362324.5,25641600.0,2023-01-11,2023-01-11 23:59:59
4.813,4.817,4.873,4.8,126085737.2,26120600.0,2023-01-12,2023-01-12 23:59:59
4.826,4.797,4.827,4.731,105536312.6,22062100.0,2023-01-13,2023-01-13 23:59:59
4.81,4.904,4.911,4.798,166610515.7,34220100.0,2023-01-16,2023-01-16 23:59:59
4.91,4.805,4.93,4.782,189110396.5,38994700.0,2023-01-17,2023-01-17 23:59:59
4.801,4.797,4.833,4.74,111478648.9,23263200.0,2023-01-18,2023-01-18 23:59:59
4.803,4.63,4.803,4.615,155568485.9,33200900.0,2023-01-19,2023-01-19 23:59:59
4.65,4.675,4.681,4.577,93870296.4,20312900.0,2023-01-20,2023-01-20 23:59:59
4.68,4.721,4.756,4.649,68801360.4,14607200.0,2023-01-23,2023-01-23 23:59:59
4.715,4.69,4.818,4.688,88788568.6,18705300.0,2023-01-24,2023-01-24 23:59:59
4.727,4.702,4.758,4.675,66311671.3,14054200.0,2023-01-25,2023-01-25 23:59:59
4.719,4.737,4.757,4.706,53100739.3,11217700.0,2023-01-26,2023-01-26 23:59:59
4.74,4.732,4.757,4.711,48357815.7,10204400.0,2023-01-27,2023-01-27 23:59:59
4.758,4.824,4.862,4.756,128500219.1,26679200.0,2023-01-30,2023-01-30 23:59:59
4.825,4.949,4.99,4.825,287802149.1,58375600.0,2023-01-31,2023-01-31 23:59:59
4.965,4.88,5.069,4.8,302850838.2,60766300.0,2023-02-01,2023-02-01 23:59:59
4.979,4.96,5.0,4.87,147759345.8,29860300.0,2023-02-02,2023-02-02 23:59:59
4.96,4.922,4.967,4.85,93826207.0,19114300.0,2023-02-03,2023-02-03 23:59:59
4.94,5.016,5.042,4.936,167011130.0,33355500.0,2023-02-06,2023-02-06 23:59:59
5.038,5.08,5.1,5.016,222324841.9,43860500.0,2023-02-07,2023-02-07 23:59:59
5.09,5.07,5.179,5.0,267757741.3,52449600.0,2023-02-08,2023-02-08 23:59:59
5.099,5.158,5.16,5.01,259738209.0,50940800.0,2023-02-09,2023-02-09 23:59:59
5.2,5.27,5.47,5.158,1876306609.1,352311800.0,2023-02-10,2023-02-10 23:59:59
5.42,5.28,5.44,5.221,402320992.1,75345800.0,2023-02-13,2023-02-13 23:59:59
5.28,5.065,5.28,5.05,290130132.0,56446000.0,2023-02-14,2023-02-14 23:59:59
5.06,4.899,5.06,4.884,253454868.1,51193800.0,2023-02-15,2023-02-15 23:59:59
4.905,5.025,5.068,4.904,170542178.0,34045800.0,2023-02-16,2023-02-16 23:59:59
5.05,4.989,5.055,4.975,89762669.2,17894300.0,2023-02-17,2023-02-17 23:59:59
5.0,4.949,5.0,4.86,143300035.8,29156000.0,2023-02-20,2023-02-20 23:59:59
4.94,5.012,5.149,4.9,244766194.0,48433800.0,2023-02-21,2023-02-21 23:59:59
5.015,5.053,5.1,5.0,97270190.5,19267600.0,2023-02-22,2023-02-22 23:59:59
5.092,5.04,5.092,5.015,51691202.9,10211000.0,2023-02-24,2023-02-24 23:59:59
5.0,5.145,5.148,4.914,163171842.9,32061700.0,2023-02-27,2023-02-27 23:59:59
5.15,5.208,5.238,5.13,199866366.7,38536800.0,2023-02-28,2023-02-28 23:59:59
5.24,5.246,5.284,5.225,128427693.9,24398600.0,2023-03-01,2023-03-01 23:59:59
5.27,5.183,5.3,5.171,294347729.2,56549600.0,2023-03-02,2023-03-02 23:59:59
5.19,5.195,5.245,5.175,85743024.1,16489200.0,2023-03-03,2023-03-03 23:59:59
5.239,5.2,5.25,5.19,115537931.6,22157600.0,2023-03-06,2023-03-06 23:59:59
5.2,5.204,5.247,5.171,108750427.4,20893700.0,2023-03-07,2023-03-07 23:59:59
5.219,5.2,5.233,5.191,71557410.5,13741400.0,2023-03-09,2023-03-09 23:59:59
5.19,5.18,5.205,5.145,90539900.1,17492700.0,2023-03-10,2023-03-10 23:59:59
5.18,5.11,5.199,5.07,158231405.4,30792500.0,2023-03-13,2023-03-13 23:59:59
5.05,5.118,5.2,5.05,172079889.7,33684300.0,2023-03-14,2023-03-14 23:59:59
5.144,5.084,5.165,5.061,73231795.0,14333100.0,2023-03-15,2023-03-15 23:59:59
5.1,5.093,5.13,5.02,103614165.6,20408200.0,2023-03-16,2023-03-16 23:59:59
5.072,5.101,5.121,5.071,117956503.2,23131600.0,2023-03-17,2023-03-17 23:59:59
5.102,5.273,5.297,5.074,303381444.5,58396700.0,2023-03-20,2023-03-20 23:59:59
5.275,5.256,5.329,5.145,354871164.8,67340800.0,2023-03-21,2023-03-21 23:59:59
5.3,5.261,5.32,5.221,198582810.2,37594900.0,2023-03-22,2023-03-22 23:59:59
5.25,5.439,5.494,5.25,515850646.8,95351000.0,2023-03-23,2023-03-23 23:59:59
5.43,5.365,5.44,5.313,327848214.3,60957300.0,2023-03-24,2023-03-24 23:59:59
5.38,5.532,5.57,5.365,589370486.3,107357400.0,2023-03-27,2023-03-27 23:59:59
5.564,5.469,5.6,5.4,373644161.7,68176100.0,2023-03-28,2023-03-28 23:59:59
5.5,5.473,5.61,5.421,367139913.2,66727300.0,2023-03-29,2023-03-29 23:59:59
5.5,5.541,5.55,5.455,266553828.3,48306000.0,2023-03-30,2023-03-30 23:59:59
5.543,5.425,5.749,5.353,1302709789.9,233101300.0,2023-03-31,2023-03-31 23:59:59
5.425,5.388,5.44,5.331,448829483.8,83663000.0,2023-04-03,2023-04-03 23:59:59
5.395,5.423,5.524,5.331,1230438674.3,227138400.0,2023-04-04,2023-04-04 23:59:59
5.431,5.499,5.541,5.36,360819716.7,65873100.0,2023-04-05,2023-04-05 23:59:59
5.5,5.652,5.735,5.5,761359551.0,135535600.0,2023-04-06,2023-04-06 23:59:59
5.681,5.667,5.743,5.61,414850679.1,73126200.0,2023-04-07,2023-04-07 23:59:59
5.735,5.702,5.75,5.66,254517123.9,44620300.0,2023-04-10,2023-04-10 23:59:59
5.722,5.574,5.722,5.5,472705546.6,84110700.0,2023-04-11,2023-04-11 23:59:59
5.58,5.642,5.686,5.58,219914746.8,38914400.0,2023-04-12,2023-04-12 23:59:59
5.679,5.613,5.679,5.544,120956224.6,21601200.0,2023-04-13,2023-04-13 23:59:59
5.613,5.598,5.62,5.552,96769655.0,17327400.0,2023-04-14,2023-04-14 23:59:59
5.644,5.685,5.714,5.601,214292339.5,37776500.0,2023-04-17,2023-04-17 23:59:59
5.698,5.668,5.715,5.58,193522406.8,34212700.0,2023-04-18,2023-04-18 23:59:59
5.667,5.593,5.688,5.5,220894086.2,39412200.0,2023-04-19,2023-04-19 23:59:59
5.605,5.592,5.632,5.536,168271163.6,30146300.0,2023-04-20,2023-04-20 23:59:59
5.592,5.628,5.65,5.572,148552575.5,26422800.0,2023-04-21,2023-04-21 23:59:59
5.665,5.677,5.71,5.584,221996334.9,39205800.0,2023-04-24,2023-04-24 23:59:59
5.68,5.739,5.795,5.65,527101339.3,91923500.0,2023-04-25,2023-04-25 23:59:59
5.74,5.72,5.82,5.7,335876638.9,58386500.0,2023-04-26,2023-04-26 23:59:59
5.701,5.737,5.77,5.661,249837707.7,43688900.0,2023-04-27,2023-04-27 23:59:59
5.76,5.671,5.763,5.621,174402167.4,30671100.0,2023-04-28,2023-04-28 23:59:59
5.641,5.491,5.669,5.391,279703227.9,50578200.0,2023-05-02,2023-05-02 23:59:59
5.49,5.228,5.5,5.2,274689146.4,51449400.0,2023-05-03,2023-05-03 23:59:59
5.24,5.321,5.356,5.24,181426274.6,34245100.0,2023-05-04,2023-05-04 23:59:59
5.322,5.258,5.48,5.2,183252015.4,34327600.0,2023-05-05,2023-05-05 23:59:59
5.27,5.302,5.39,5.251,73708082.5,13871500.0,2023-05-08,2023-05-08 23:59:59
5.29,5.562,5.574,5.29,247246942.4,45115500.0,2023-05-10,2023-05-10 23:59:59
5.57,5.451,5.62,5.325,337583802.5,61324100.0,2023-05-11,2023-05-11 23:59:59
5.505,5.528,5.596,5.458,187342353.4,33971800.0,2023-05-12,2023-05-12 23:59:59
5.579,5.649,5.681,5.55,293886151.8,52122300.0,2023-05-15,2023-05-15 23:59:59
5.684,5.671,5.7,5.581,264642438.1,46829700.0,2023-05-16,2023-05-16 23:59:59
5.687,5.665,5.688,5.617,113170202.1,20029500.0,2023-05-17,2023-05-17 23:59:59
5.698,5.619,5.698,5.473,244034868.4,43439800.0,2023-05-18,2023-05-18 23:59:59
5.625,5.502,5.677,5.362,551350824.0,100058300.0,2023-05-19,2023-05-19 23:59:59
5.569,5.468,5.6,5.43,158387791.0,28750200.0,2023-05-22,2023-05-22 23:59:59
5.496,5.475,5.499,5.35,254885186.7,47139600.0,2023-05-23,2023-05-23 23:59:59
5.453,5.214,5.49,5.116,995206664.7,188876900.0,2023-05-24,2023-05-24 23:59:59
